Id,Type,Title,Year,LengthMinutes,MediaGenres
tt0274298,tvSeries,Witchblade,2001,60,"Action,Drama,Fantasy"
tt0274309,movie,24 Hour Party People,2002,117,"Biography,Comedy,Drama"
tt0274311,movie,900 Women,2001,72,Documentary
tt0274323,movie,Alla rivoluzione sulla due cavalli,2001,100,Comedy
tt0274384,movie,Black & Gold,2001,75,"Crime,Documentary,History"
tt0274403,movie,La bête de miséricorde,2001,88,"Comedy,Crime"
tt0274407,movie,Callas Forever,2002,111,"Biography,Drama,Music"
tt0274419,movie,"Caruso, zero in condotta",2001,91,Comedy
tt0274424,movie,Chacho Rom,2002,125,"Drama,Romance"
tt0274426,movie,Chimera,2001,88,Drama
tt0274428,movie,Yadon ilaheyya,2002,92,"Comedy,Drama,Romance"
tt0274430,movie,Club Le Monde,2002,79,"Comedy,Drama,Romance"
tt0274432,movie,Come si fa un Martini,2001,98,Comedy
tt0274457,movie,Un delitto impossibile,2001,100,"Crime,Mystery"
tt0274460,movie,Diapason,2001,90,Drama
tt0274466,tvSeries,Doei,2001,25,"Comedy,Drama,Family"
tt0274471,movie,Le doux amour des hommes,2002,80,Drama
tt0274472,movie,Down Time,2001,90,"Crime,Drama"
tt0274491,movie,The Experience Box,2001,99,"Comedy,Drama"
tt0274494,movie,Faber,2001,45,Documentary
tt0274497,movie,Le fate ignoranti,2001,106,"Drama,Romance"
tt0274509,movie,From Venus,2005,88,"Horror,Sci-Fi"
tt0274523,movie,Getting Hal,2003,85,"Action,Comedy"
tt0274527,movie,I giorni dell'amore e dell'odio,2001,100,"Drama,Romance,War"
tt0274535,movie,Grazie novellino,2001,48,Documentary
tt0274558,movie,The Hours,2002,110,"Drama,Romance"
tt0274579,movie,Jang Seonu byeonjugok,2001,118,Documentary
tt0274596,movie,Cabriolet,2001,80,Romance
tt0274637,movie,Una lunga lunga lunga notte d'amore,2001,102,"Comedy,Romance"
tt0274639,movie,Nothing So Strange,2002,82,"Crime,Drama"
tt0274643,movie,Made-Up,2002,96,"Comedy,Drama"
tt0274652,movie,Me & Mrs. Jones,2001,99,"Comedy,Romance"
tt0274661,movie,Mi amigo,2002,89,"Comedy,Western"
tt0274680,movie,My Sweet Home,2001,86,"Comedy,Drama"
tt0274708,movie,Passing Stones,2001,90,Comedy
tt0274711,movie,People I Know,2002,100,"Crime,Drama,Mystery"
tt0274724,movie,Milan Hlavsa a Plastic People of the Universe,2001,74,Documentary
tt0274757,movie,La rentrée,2001,97,"Crime,Drama"
tt0274812,movie,Secretary,2002,107,"Comedy,Drama,Romance"
tt0274813,movie,Secrets Through the Smoke,2001,55,Documentary
tt0274830,movie,Sezon na leszcza,2001,100,"Action,Crime,Drama"
tt0274861,movie,Snowbound,2001,93,"Action,Mystery,Thriller"
tt0274868,movie,Some Body,2001,77,Drama
tt0274871,movie,Sohasevolt Glória,2001,90,"Action,Comedy,Crime"
